groupNumber,d_day,d_airlane,d_number,d_departure,d_time,d_destination,d_time2,b_day,b_airlane,b_number,b_departure,b_time,b_destination,b_time2
KNH03200702D,1,立榮航空,B78807,台北松山機場,2020/07/02 08:00,金門機場,2020/07/02 09:20,3,立榮航空,B78826,金門機場,2020/07/04 17:40,台北松山機場,2020/07/04 18:50
MZG04200702F,1,華信航空,AE379,台北松山機場,2020/07/02 14:30,澎湖馬公機場,2020/07/02 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/05 09:25,台北松山機場,2020/07/05 10:20
MFK03200702D,1,立榮航空,B78781,台北松山機場,2020/07/02 06:50,馬祖北竿機場,2020/07/02 07:45,3,立榮航空,B78758,馬祖南竿機場,2020/07/04 11:40,台北松山機場,2020/07/04 12:30
TWN03200702H,1,立榮航空,B79061,台北松山機場,2020/07/02 07:50,台東機場,2020/07/02 08:55,1,立榮航空,B78721,台北松山機場,2020/07/02 10:00,台東機場,2020/07/02 11:05
TAE05200702A,1,德威,TW664,桃園國際機場,2020/07/02 02:05,大邱機場,2020/07/02 05:25,5,德威,TW663,大邱機場,2020/07/06 22:40,桃園國際機場,2020/07/07 00:05
BKI06200702A,1,亞航,AK1511,桃園國際機場,2020/07/02 09:55,亞庇 (沙巴)機場,2020/07/02 13:25,6,亞航,AK1510,亞庇 (沙巴)機場,2020/07/07 06:10,桃園國際機場,2020/07/07 09:25
DAD05200702A,1,星宇航空,JX701,桃園國際機場,2020/07/02 07:40,峴港機場,2020/07/02 09:35,5,星宇航空,JX702,峴港機場,2020/07/06 10:35,桃園國際機場,2020/07/06 14:20
NGO06200702B,1,7G,7G810,桃園國際機場,2020/07/02 18:10,名古屋機場,2020/07/02 22:05,6,7G,7G811,名古屋機場,2020/07/07 08:30,桃園國際機場,2020/07/07 10:30
NGO06200702A,1,7G,7G810,桃園國際機場,2020/07/02 18:10,名古屋機場,2020/07/02 22:05,6,7G,7G811,名古屋機場,2020/07/07 08:30,桃園國際機場,2020/07/07 10:30
LZN03200624A,1,立榮航空,B78731,台中清泉岡機場,2020/06/24 11:50,馬祖南竿機場,2020/06/24 12:55,3,立榮航空,B78732,馬祖南竿機場,2020/06/26 13:30,台中清泉岡機場,2020/06/26 14:35
HAN05200624A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
HAN05200624B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
OKA05200624B,1,亞航 X,D7384,桃園國際機場,2020/06/24 13:20,沖繩機場,2020/06/24 16:00,5,亞航 X,D7385,沖繩機場,2020/06/28 17:30,桃園國際機場,2020/06/28 18:10
HAN05200625C,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625A,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
HAN05200625D,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625B,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
PEN05200625A,1,星宇航空,JX721,桃園國際機場,2020/06/25 09:30,檳城機場,2020/06/25 13:50,5,星宇航空,JX722,檳城機場,2020/06/29 15:00,桃園國際機場,2020/06/29 20:00
HAN05200626A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
OKA04200626H,1,亞航 X,D7384,桃園國際機場,2020/06/26 13:20,沖繩機場,2020/06/26 16:00,4,亞航 X,D7385,沖繩機場,2020/06/29 16:55,桃園國際機場,2020/06/29 17:35
HAN05200626B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
MZG04200703E,1,華信航空,AE379,台北松山機場,2020/07/03 14:30,澎湖馬公機場,2020/07/03 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/06 09:25,台北松山機場,2020/07/06 10:20
KNH03200703F,1,立榮航空,B78807,台北松山機場,2020/07/03 08:00,金門機場,2020/07/03 09:20,3,立榮航空,B78826,金門機場,2020/07/05 17:40,台北松山機場,2020/07/05 18:50
KNH03200703E,1,立榮航空,B78807,台北松山機場,2020/07/03 08:00,金門機場,2020/07/03 09:20,3,立榮航空,B78826,金門機場,2020/07/05 17:40,台北松山機場,2020/07/05 18:50
KNH03200703D,1,立榮航空,B78807,台北松山機場,2020/07/03 08:00,金門機場,2020/07/03 09:20,3,立榮航空,B78826,金門機場,2020/07/05 17:40,台北松山機場,2020/07/05 18:50
TWN03200703J,1,立榮航空,B79061,台北松山機場,2020/07/03 07:50,台東機場,2020/07/03 08:55,1,立榮航空,B78721,台北松山機場,2020/07/03 10:00,台東機場,2020/07/03 11:05
MZG04200703F,1,華信航空,AE379,台北松山機場,2020/07/03 14:30,澎湖馬公機場,2020/07/03 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/06 09:25,台北松山機場,2020/07/06 10:20
MFK03200703D,1,立榮航空,B78785,台北松山機場,2020/07/03 12:25,馬祖北竿機場,2020/07/03 13:20,3,立榮航空,B78766,馬祖南竿機場,2020/07/05 17:20,台北松山機場,2020/07/05 18:10
TAE05200703A,1,德威,TW664,桃園國際機場,2020/07/03 02:05,大邱機場,2020/07/03 05:25,5,德威,TW663,大邱機場,2020/07/07 22:40,桃園國際機場,2020/07/08 00:05
TWN03200703H,1,立榮航空,B79061,台北松山機場,2020/07/03 07:50,台東機場,2020/07/03 08:55,1,立榮航空,B78721,台北松山機場,2020/07/03 10:00,台東機場,2020/07/03 11:05
BKI06200703A,1,亞航,AK1511,桃園國際機場,2020/07/03 09:55,亞庇 (沙巴)機場,2020/07/03 13:25,6,亞航,AK1510,亞庇 (沙巴)機場,2020/07/08 06:10,桃園國際機場,2020/07/08 09:25
OSA05200703A,1,亞航 X,D7382,桃園國際機場,2020/07/03 16:55,大阪關西機場,2020/07/03 20:25,5,亞航 X,D7383,大阪關西機場,2020/07/07 21:45,桃園國際機場,2020/07/07 23:45
MZG04200704E,1,華信航空,AE379,台北松山機場,2020/07/04 14:30,澎湖馬公機場,2020/07/04 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/07 09:25,台北松山機場,2020/07/07 10:20
KNH03200704F,1,立榮航空,B78807,台北松山機場,2020/07/04 08:00,金門機場,2020/07/04 09:20,3,立榮航空,B78826,金門機場,2020/07/06 17:40,台北松山機場,2020/07/06 18:50
LZN03200624A,1,立榮航空,B78731,台中清泉岡機場,2020/06/24 11:50,馬祖南竿機場,2020/06/24 12:55,3,立榮航空,B78732,馬祖南竿機場,2020/06/26 13:30,台中清泉岡機場,2020/06/26 14:35
HAN05200624A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
HAN05200624B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
OKA05200624B,1,亞航 X,D7384,桃園國際機場,2020/06/24 13:20,沖繩機場,2020/06/24 16:00,5,亞航 X,D7385,沖繩機場,2020/06/28 17:30,桃園國際機場,2020/06/28 18:10
HAN05200625C,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625A,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
HAN05200625D,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625B,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
PEN05200625A,1,星宇航空,JX721,桃園國際機場,2020/06/25 09:30,檳城機場,2020/06/25 13:50,5,星宇航空,JX722,檳城機場,2020/06/29 15:00,桃園國際機場,2020/06/29 20:00
HAN05200626A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
OKA04200626H,1,亞航 X,D7384,桃園國際機場,2020/06/26 13:20,沖繩機場,2020/06/26 16:00,4,亞航 X,D7385,沖繩機場,2020/06/29 16:55,桃園國際機場,2020/06/29 17:35
HAN05200626B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
KNH03200704E,1,立榮航空,B78807,台北松山機場,2020/07/04 08:00,金門機場,2020/07/04 09:20,3,立榮航空,B78826,金門機場,2020/07/06 17:40,台北松山機場,2020/07/06 18:50
KNH03200704D,1,立榮航空,B78807,台北松山機場,2020/07/04 08:00,金門機場,2020/07/04 09:20,3,立榮航空,B78826,金門機場,2020/07/06 17:40,台北松山機場,2020/07/06 18:50
TWN03200704J,1,立榮航空,B79061,台北松山機場,2020/07/04 07:50,台東機場,2020/07/04 08:55,1,立榮航空,B78721,台北松山機場,2020/07/04 10:00,台東機場,2020/07/04 11:05
MZG04200704F,1,華信航空,AE379,台北松山機場,2020/07/04 14:30,澎湖馬公機場,2020/07/04 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/07 09:25,台北松山機場,2020/07/07 10:20
MFK03200704D,1,立榮航空,B78785,台北松山機場,2020/07/04 12:25,馬祖北竿機場,2020/07/04 13:20,3,立榮航空,B78766,馬祖南竿機場,2020/07/06 17:20,台北松山機場,2020/07/06 18:10
TAE05200704A,1,德威,TW664,桃園國際機場,2020/07/04 02:05,大邱機場,2020/07/04 05:25,5,德威,TW663,大邱機場,2020/07/08 22:40,桃園國際機場,2020/07/09 00:05
TWN03200704H,1,立榮航空,B79061,台北松山機場,2020/07/04 07:50,台東機場,2020/07/04 08:55,1,立榮航空,B78721,台北松山機場,2020/07/04 10:00,台東機場,2020/07/04 11:05
BKI06200704A,1,亞航,AK1511,桃園國際機場,2020/07/04 09:55,亞庇 (沙巴)機場,2020/07/04 13:25,6,亞航,AK1510,亞庇 (沙巴)機場,2020/07/09 06:10,桃園國際機場,2020/07/09 09:25
KNH03200705G,1,立榮航空,B79195,台北松山機場,2020/07/05 08:45,金門機場,2020/07/05 09:45,3,立榮航空,B79192,金門機場,2020/07/07 14:35,台北松山機場,2020/07/07 15:35
MZG04200705E,1,華信航空,AE379,台北松山機場,2020/07/05 14:30,澎湖馬公機場,2020/07/05 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/08 09:25,台北松山機場,2020/07/08 10:20
LZN03200624A,1,立榮航空,B78731,台中清泉岡機場,2020/06/24 11:50,馬祖南竿機場,2020/06/24 12:55,3,立榮航空,B78732,馬祖南竿機場,2020/06/26 13:30,台中清泉岡機場,2020/06/26 14:35
HAN05200624A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
HAN05200624B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
OKA05200624B,1,亞航 X,D7384,桃園國際機場,2020/06/24 13:20,沖繩機場,2020/06/24 16:00,5,亞航 X,D7385,沖繩機場,2020/06/28 17:30,桃園國際機場,2020/06/28 18:10
HAN05200625C,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625A,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
HAN05200625D,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625B,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
PEN05200625A,1,星宇航空,JX721,桃園國際機場,2020/06/25 09:30,檳城機場,2020/06/25 13:50,5,星宇航空,JX722,檳城機場,2020/06/29 15:00,桃園國際機場,2020/06/29 20:00
HAN05200626A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
OKA04200626H,1,亞航 X,D7384,桃園國際機場,2020/06/26 13:20,沖繩機場,2020/06/26 16:00,4,亞航 X,D7385,沖繩機場,2020/06/29 16:55,桃園國際機場,2020/06/29 17:35
HAN05200626B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/26 17:15,河內機場,2020/06/26 19:05,5,越捷航空,VJ948,河內機場,2020/06/30 12:45,台中清泉岡機場,2020/06/30 16:15
KNH03200705F,1,立榮航空,B78807,台北松山機場,2020/07/05 08:00,金門機場,2020/07/05 09:20,3,立榮航空,B78826,金門機場,2020/07/07 17:40,台北松山機場,2020/07/07 18:50
KNH03200705E,1,立榮航空,B78807,台北松山機場,2020/07/05 08:00,金門機場,2020/07/05 09:20,3,立榮航空,B78826,金門機場,2020/07/07 17:40,台北松山機場,2020/07/07 18:50
TWN03200705J,1,立榮航空,B79061,台北松山機場,2020/07/05 07:50,台東機場,2020/07/05 08:55,1,立榮航空,B78721,台北松山機場,2020/07/05 10:00,台東機場,2020/07/05 11:05
KNH03200705D,1,立榮航空,B78807,台北松山機場,2020/07/05 08:00,金門機場,2020/07/05 09:20,3,立榮航空,B78826,金門機場,2020/07/07 17:40,台北松山機場,2020/07/07 18:50
MZG04200705F,1,華信航空,AE379,台北松山機場,2020/07/05 14:30,澎湖馬公機場,2020/07/05 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/08 09:25,台北松山機場,2020/07/08 10:20
MFK03200705E,1,立榮航空,B78785,台北松山機場,2020/07/05 12:25,馬祖北竿機場,2020/07/05 13:20,3,立榮航空,B78766,馬祖南竿機場,2020/07/07 17:20,台北松山機場,2020/07/07 18:10
MFK03200705D,1,立榮航空,B78785,台北松山機場,2020/07/05 12:25,馬祖北竿機場,2020/07/05 13:20,3,立榮航空,B78766,馬祖南竿機場,2020/07/07 17:20,台北松山機場,2020/07/07 18:10
TAE05200705A,1,德威,TW664,桃園國際機場,2020/07/05 02:05,大邱機場,2020/07/05 05:25,5,德威,TW663,大邱機場,2020/07/09 22:40,桃園國際機場,2020/07/10 00:05
TWN03200705H,1,立榮航空,B79061,台北松山機場,2020/07/05 07:50,台東機場,2020/07/05 08:55,1,立榮航空,B78721,台北松山機場,2020/07/05 10:00,台東機場,2020/07/05 11:05
DAD05200705A,1,星宇航空,JX701,桃園國際機場,2020/07/05 07:40,峴港機場,2020/07/05 09:35,5,星宇航空,JX702,峴港機場,2020/07/09 10:35,桃園國際機場,2020/07/09 14:20
KKJ05200705B,1,7G,7G800,桃園國際機場,2020/07/05 11:50,北九州機場,2020/07/05 15:05,5,7G,7G801,北九州機場,2020/07/09 15:55,桃園國際機場,2020/07/09 17:40
KKJ05200705A,1,7G,7G800,桃園國際機場,2020/07/05 11:30,北九州機場,2020/07/05 14:50,5,7G,7G801,北九州機場,2020/07/09 15:50,桃園國際機場,2020/07/09 17:20
OSA05200705A,1,國泰航空,CX564,桃園國際機場,2020/07/05 11:00,大阪關西機場,2020/07/05 14:50,5,國泰航空,CX565,大阪關西機場,2020/07/09 16:20,桃園國際機場,2020/07/09 18:20
MZG04200706E,1,華信航空,AE379,台北松山機場,2020/07/06 14:30,澎湖馬公機場,2020/07/06 15:30,4,華信航空,AE364,澎湖馬公機場,2020/07/09 09:25,台北松山機場,2020/07/09 10:20
KNH03200706F,1,立榮航空,B78807,台北松山機場,2020/07/06 08:00,金門機場,2020/07/06 09:20,3,立榮航空,B78826,金門機場,2020/07/08 17:40,台北松山機場,2020/07/08 18:50
LZN03200624A,1,立榮航空,B78731,台中清泉岡機場,2020/06/24 11:50,馬祖南竿機場,2020/06/24 12:55,3,立榮航空,B78732,馬祖南竿機場,2020/06/26 13:30,台中清泉岡機場,2020/06/26 14:35
